id,subject_uid,question,option_a,option_b,option_c,option_d,correct_answer
479,48,"Kỹ thuật xây dựng liên quan chặt đến ngành nào?","Kiến trúc","Xây dựng","CNTT","Luật","b"
480,48,"Kỹ sư xây dựng cần kỹ năng gì?","Vẽ tay","Tính toán và quản lý","Viết văn","Marketing","b"
481,49,"Kỹ thuật điện nghiên cứu gì?","Cơ học","Hệ thống điện","Sinh học","Xã hội","b"
482,49,"Dòng điện là gì?","Nhiệt","Sự chuyển dời electron","Ánh sáng","Âm thanh","b"
483,49,"Nguồn điện dùng để làm gì?","Tiêu thụ","Cung cấp năng lượng","Trang trí","Lưu trữ","b"
484,49,"Mạch điện là gì?","Hình ảnh","Đường dẫn dòng điện","Phần mềm","Cơ cấu","b"
485,49,"Thiết bị điện dùng để?","Trang trí","Tiêu thụ điện năng","Quảng cáo","Lưu trữ","b"
486,49,"An toàn điện nhằm mục đích gì?","Tăng công suất","Tránh tai nạn","Tiết kiệm","Trang trí","b"
487,49,"Điện áp là gì?","Dòng điện","Hiệu điện thế","Công suất","Nhiệt","b"
488,49,"Công suất điện đo bằng đơn vị nào?","Volt","Ampere","Watt","Ohm","c"
489,49,"Hệ thống điện gồm gì?","Nguồn và tải","Phần mềm","Cơ khí","Mạng xã hội","a"
490,49,"Kỹ thuật điện là nền tảng cho ngành nào?","CNTT","Điện – điện tử","Kinh tế","Luật","b"
491,50,"Kỹ thuật cơ khí là gì?","Thiết kế web","Thiết kế và chế tạo máy","Marketing","Luật","b"
492,50,"Đối tượng của cơ khí là gì?","Phần mềm","Máy móc","Dữ liệu","Hình ảnh","b"
493,50,"Vật liệu cơ khí phổ biến là gì?","Gỗ","Kim loại","Nhựa mềm","Vải","b"
494,50,"Cơ cấu máy dùng để làm gì?","Trang trí","Truyền và biến đổi chuyển động","Quảng cáo","Lưu trữ","b"
495,50,"Bản vẽ cơ khí dùng để?","Trang trí","Chế tạo chi tiết","Marketing","Báo cáo","b"
496,50,"Gia công cơ khí là gì?","Thiết kế","Tạo hình chi tiết","Quảng cáo","Lắp ráp phần mềm","b"
497,50,"Máy CNC là gì?","Máy thủ công","Máy điều khiển số","Máy cơ","Máy điện","b"
498,50,"Kỹ thuật cơ khí ứng dụng trong lĩnh vực nào?","Y tế","Sản xuất","Marketing","Luật","b"
499,50,"An toàn lao động trong cơ khí nhằm gì?","Tăng tốc","Bảo vệ con người","Trang trí","Giảm chi phí","b"
500,50,"Kỹ thuật cơ khí là nền tảng của ngành nào?","Công nghiệp","Dịch vụ","Giáo dục","Truyền thông","a"

